type T P
bubble 230 0.648644056259834
bubble 244.940904298805 1.00469428447954
bubble 260.989237261452 1.50401494774391
bubble 278.194619962166 2.17843701780755
bubble 296.606783044111 3.05891996477638
bubble 316.274891141329 4.17660748662615
bubble 337.244387663663 5.56794203222004
bubble 359.551830528894 7.2845476928541
bubble 379.04452216409 9.00765041994346
bubble 395.732393003739 10.6748826614258
bubble 409.746292410031 12.2335224680663
bubble 425.390542564163 14.1698234419746
bubble 438.462445946648 15.9670071609985
bubble 452.975833299032 18.1756708310919
bubble 465.023382070463 20.1941523513302
bubble 473.972696824024 21.8079099575245
bubble 481.997583152038 23.3391031771317
bubble 489.219798728812 24.7837393521646
bubble 495.728706011228 26.1362655462008
bubble 501.591729922738 27.3902920554427
bubble 506.860947551654 28.5391013619517
bubble 511.5774201634 29.5760298228974
bubble 515.774143096589 30.4947679650989
bubble 519.478115313302 31.2896042581278
bubble 522.711829220109 31.9556257395374
bubble 525.494367566257 32.4888829008243
bubble 527.295190210156 32.7999386063793
bubble 528.85776068472 33.0339200865693
bubble 530.187797478283 33.1904609745691
bubble 531.290623049049 33.2696062623311
bubble 532.171247942959 33.2718204184115
bubble 532.834442486476 33.1979903295197
bubble 533.19191712521 33.0934840685257
dew 533.564774610533 32.5353564998335
dew 533.532321315561 32.4210725890608
dew 533.477294003121 32.2991014945341
dew 533.39985934422 32.169553755316
dew 533.300184207021 32.0325444344758
dew 533.178435789249 31.888192998609
dew 533.034781733572 31.7366232011777
dew 532.869390239895 31.5779629585351
dew 532.682430175111 31.4123442181058
dew 532.474071176986 31.239902821968
dew 532.244483747769 31.0607783708913
dew 531.993839350673 30.8751140760301
dew 531.722310494674 30.6830566131348
dew 531.430070818144 30.4847559690828
dew 531.117295166183 30.2803652862839
dew 530.784159664312 30.0700407024843
dew 530.430841785963 29.8539411891703
dew 530.057520417291 29.6322283849431
dew 529.664375913977 29.4050664327168
dew 529.251590165317 29.172621786361
dew 528.819346638188 28.9350630724426
dew 528.367830416368 28.6925608863052
dew 527.897228251306 28.4452876438984
dew 527.40772860548 28.1934173679415
dew 526.899521675671 27.9371255395681
dew 526.372799426551 27.6765889042922
dew 525.827755617323 27.4119852950912
dew 525.264585821281 27.1434934536456
dew 524.683487441553 26.8712928515263
dew 524.084659736688 26.5955634962053
dew 523.468303804617 26.3164857825534
dew 522.834622613341 26.0342402840234
dew 522.183820989863 25.7490075909068
dew 521.516105617328 25.4609681353475
dew 520.831685039874 25.1703020045745
dew 520.130769632635 24.8771887925922
dew 519.413571604555 24.5818074111961
dew 518.680304974452 24.2843359305902
dew 517.931185549616 23.9849514154296
dew 517.166430902232 23.6838297623082
dew 516.386260338128 23.3811455450201
dew 515.590894867025 23.0770718577696
dew 514.780557165905 22.7717801658562
dew 513.955471540063 22.4654401590808
dew 513.115863880782 22.1582196093046
dew 512.261961617955 21.850284234058
dew 511.393993679924 21.5417975545458
dew 510.512190424333 21.2329207874971
dew 509.61678360305 20.9238126829869
dew 508.708006288838 20.6146294553048
dew 507.786092825236 20.3055246225505
dew 506.851278756213 19.9966489310086
dew 505.90380076557 19.6881502265172
dew 504.943896604625 19.3801733740797
